time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
2666	-0.048944	0.054846	0.361712	-18.104	-0.388	-5.931	-0.188105	0.141447	-0.337128
2667	-0.326743	0.026439	0.322224	-14.97	-1.03	-5.374	-0.203075	0.140417	-0.342502
2668	-0.334864	0.023838	0.339798	-11.601	-0.798	-4.061	-0.214676	0.139619	-0.346563
2669	-0.222915	0.032924	0.43174	-15.054	-1.035	-5.135	-0.22973	0.138584	-0.351698
2670	-0.230839	0.051044	0.475984	-15.099	-1.038	-5	-0.244829	0.137546	-0.356698
2671	-0.237209	0.067775	0.523277	-16.522	-1.137	-5.299	-0.261351	0.136409	-0.361997
2672	-0.249248	0.088506	0.575879	-19.34	-1.33	-5.977	-0.280691	0.135079	-0.367974
2673	-0.257409	0.106937	0.619298	-15.936	-1.096	-4.745	-0.296627	0.133983	-0.372719
2674	-0.263494	0.120995	0.652999	-11.112	-0.764	-3.212	-0.307739	0.133219	-0.375931
2675	-0.271643	0.138745	0.696673	-12.526	-0.862	-3.526	-0.320265	0.132357	-0.379457
2676	-0.279579	0.156181	0.740534	-9.062	-0.623	-2.49	-0.329327	0.131734	-0.381947
2677	-0.288527	0.174654	0.788467	-5.583	-0.384	-1.508	-0.33491	0.13135	-0.383455
2678	-0.298711	0.1957	0.844642	-9.137	0.157	-2.412	-0.344047	0.131507	-0.385867
2679	-0.307359	0.212415	0.890872	-11.897	-0.823	-3.081	-0.355944	0.130684	-0.388948
2680	-0.31322	0.223837	0.923146	-12.619	-0.874	-3.172	-0.368563	0.12981	-0.39212
2681	-0.319976	0.236383	0.95949	-14.102	-0.206	-3.416	-0.382665	0.129604	-0.395536
2682	-0.32476	0.245307	0.98581	-20.47	-0.664	-4.749	-0.403135	0.12894	-0.400285
2683	-0.327793	0.250702	1.002006	-17.645	-1.235	-3.9	-0.42078	0.127705	-0.404185
2684	-0.334974	0.259405	1.028542	-14.956	0.448	-3.136	-0.435736	0.128153	-0.407321
2685	-0.34133	0.27053	1.063072	-9.915	-0.703	-2.02	-0.445651	0.12745	-0.409341
2686	-0.347982	0.282071	1.099722	-9.322	0.819	-1.825	-0.454973	0.128269	-0.411166
2687	-0.357835	0.294548	1.140649	-9.385	1.535	-1.775	-0.464358	0.129804	-0.412941
2688	-0.370888	0.312077	1.200098	-15.901	2.488	-2.894	-0.480259	0.132292	-0.415835
2689	-0.380309	0.326564	1.251303	-19.326	-0.006	-3.359	-0.499585	0.132286	-0.419194
2690	-0.39265	0.338369	1.294738	-17.824	-1.351	-2.921	-0.517409	0.130935	-0.422115
2691	-0.397889	0.346004	1.323518	-13.566	-1.028	-2.098	-0.530975	0.129907	-0.424213
2692	-0.407202	0.352973	1.35059	-9.291	-0.704	-1.375	-0.540266	0.129203	-0.425588
2693	-0.418653	0.359817	1.377857	-5.774	0.264	-0.821	-0.54604	0.129467	-0.426409
2694	-0.43781	0.371046	1.424035	-4.453	1.763	-0.604	-0.550493	0.13123	-0.427013
2695	-0.451972	0.384232	1.480164	-7.765	7.075	-0.983	-0.558258	0.138305	-0.427996
