time	SF_x	SF_y	SF_z	MV_x	MV_y	MV_z	MP_x	MP_y	MP_z
1431	-1.568009	0.670494	4.804837	-10.971	1.036	-4.268	-0.244221	-0.18893	0.18594
1432	-1.658497	0.772144	5.01501	-11.162	-0.596	-4.214	-0.255383	-0.189526	0.181726
1433	-1.801034	0.943879	5.286008	-14.346	0.547	-7.597	-0.269729	-0.188979	0.174129
1434	-1.977017	1.135934	5.579215	-15.595	1.492	-8.187	-0.285324	-0.187487	0.165942
1435	-2.215968	1.406172	5.98389	-21.428	2.051	-11.976	-0.306752	-0.185436	0.153966
1436	-2.431003	1.64857	6.341791	-19.042	1.822	-10.319	-0.325794	-0.183614	0.143647
1437	-2.607707	1.854993	6.668789	-17.32	0.868	-9.087	-0.343114	-0.182746	0.13456
1438	-2.795016	2.070953	7.008519	-18.061	0.954	-9.221	-0.361175	-0.181792	0.125339
1439	-2.975568	2.254994	7.31331	-16.146	1.558	-8.058	-0.377321	-0.180234	0.117281
1440	-3.070744	2.353269	7.471765	-8.428	0.814	-4.125	-0.385749	-0.17942	0.113156
1441	-3.118123	2.370122	7.578982	-5.68	-0.221	-0.552	-0.391429	-0.179641	0.112604
1442	-3.149516	2.355481	7.660638	-4.306	-0.35	0.839	-0.395735	-0.179991	0.113443
1443	-3.201815	2.331486	7.775851	-6.104	-0.171	1.411	-0.401839	-0.180162	0.114854
1444	-3.253873	2.321672	7.893432	-6.19	-0.157	0.655	-0.408029	-0.180319	0.115509
1445	-3.344912	2.364834	8.073496	-9.539	0.178	-1.638	-0.417568	-0.180141	0.113871
1446	-3.447498	2.478602	8.272163	-10.532	0.284	-4.891	-0.4281	-0.179857	0.10898
1447	-3.594716	2.630884	8.545989	-14.506	0.688	-6.614	-0.442606	-0.179169	0.102366
1448	-3.765983	2.790981	8.831319	-15.149	1.506	-6.774	-0.457755	-0.177663	0.095592
1449	-3.944471	2.95103	9.130978	-15.875	1.578	-6.917	-0.47363	-0.176085	0.088675
1450	-4.10937	3.098582	9.406282	-14.611	1.453	-6.204	-0.488241	-0.174632	0.082471
1451	-4.250694	3.205654	9.64351	-12.568	1.25	-4.536	-0.500809	-0.173382	0.077935
1452	-4.377382	3.300314	9.856054	-11.266	1.12	-3.91	-0.512075	-0.172262	0.074025
1453	-4.532379	3.386596	10.116231	-13.784	1.37	-3.49	-0.525859	-0.170892	0.070535
1454	-4.626522	3.422738	10.275873	-8.44	0.839	-1.315	-0.534299	-0.170053	0.06922
1455	-4.72802	3.449155	10.446271	-9.027	0.898	-0.852	-0.543326	-0.169155	0.068368
1456	-4.839904	3.442049	10.637683	-10.096	1.004	0.738	-0.553422	-0.168151	0.069106
1457	-4.938403	3.423878	10.803103	-8.763	0.871	1.258	-0.562185	-0.16728	0.070364
1458	-5.012406	3.382723	10.956677	-8.074	0.107	2.2	-0.570259	-0.167173	0.072564
1459	-5.115641	3.327225	11.129992	-9.18	0.917	3.053	-0.579439	-0.166256	0.075617
1460	-5.235785	3.341847	11.312508	-9.604	1.646	-0.358	-0.589043	-0.16461	0.075259
1461	-5.387001	3.443827	11.566686	-13.462	1.339	-4.257	-0.602505	-0.163271	0.071002
1462	-5.539928	3.560026	11.823194	-13.596	1.352	-4.825	-0.616101	-0.161919	0.066177
1463	-5.693093	3.671788	12.080635	-13.635	1.355	-4.713	-0.629736	-0.160564	0.061464
1464	-5.862302	3.794321	12.364415	-15.042	1.496	-5.055	-0.644778	-0.159068	0.056409
